frequency,amplitude
0.0,8.681800205260515
0.09850275807722615,26.258966329211713
0.1970055161544523,26.52973565385352
0.29550827423167847,25.90642115586862
0.3940110323089046,25.36629541015972
0.49251379038613075,24.039546709268205
0.5910165484633569,21.556988013922247
0.689519306540583,18.8876331176182
0.7880220646178092,15.659459447432255
0.8865248226950354,14.265672598997368
0.9850275807722615,11.734498115710103
1.0835303388494877,10.750279771585733
1.1820330969267139,10.120261290908525
1.28053585500394,9.919335478146396
1.379038613081166,8.74606891537012
1.4775413711583922,7.819045263008798
1.5760441292356184,6.617811968203074
1.6745468873128446,6.409333392891819
1.7730496453900708,5.957714538034667
1.8715524034672968,6.79231179771475
1.970055161544523,6.8263662227924025
2.068557919621749,8.533900531780661
2.1670606776989754,8.501430753312912
2.2655634357762016,8.180502400174122
2.3640661938534278,7.5909364399768355
2.462568951930654,7.617312293597408
2.56107171000788,6.490921759313888
2.659574468085106,6.715301527963681
2.758077226162332,4.683713293115101
2.8565799842395583,4.963008500493277
2.9550827423167845,4.6553435881638645
3.0535855003940107,4.757047218837627
3.152088258471237,5.217658395624383
3.250591016548463,6.79726633677794
3.3490937746256892,8.413186862727681
3.4475965327029154,9.586649727948192
3.5460992907801416,11.559086680792323
3.644602048857368,12.9191673809032
3.7431048069345936,14.035625106258118
3.8416075650118198,15.013121598407517
3.940110323089046,15.599445747329966
4.038613081166273,15.338541206066541
4.137115839243498,16.60603519847404
4.235618597320724,15.861025984422259
4.334121355397951,16.213546944617313
4.4326241134751765,15.475199849521273
4.531126871552403,15.308001179115013
4.629629629629629,15.113605451295484
4.7281323877068555,14.437955385220429
4.826635145784081,14.086615387322643
4.925137903861308,12.86784107056818
5.023640661938534,11.82693323638678
5.12214342001576,10.697215279431928
5.220646178092986,10.153861274832925
5.319148936170212,10.576908583022458
5.417651694247438,10.5681311077861
5.516154452324664,10.322220455798247
5.614657210401891,9.575648164956583
5.713159968479117,9.81070423513143
5.811662726556343,8.708099500575136
5.910165484633569,8.16527908677864
6.008668242710796,8.479947064073382
6.107171000788021,8.262091149838758
6.205673758865248,7.671950276205436
6.304176516942474,7.733657290584684
6.4026792750196995,7.953390648782193
6.501182033096926,7.952602557665173
6.599684791174152,8.35232249619697
6.6981875492513785,9.990380992228733
6.796690307328604,10.162493899276866
6.895193065405831,11.687439594874359
6.993695823483057,12.59973538655897
7.092198581560283,15.358768395192296
7.190701339637509,16.580178215044846
7.289204097714736,18.716489382543095
7.387706855791961,21.007560529157814
7.486209613869187,22.388812940562055
7.584712371946414,24.37320519616267
7.6832151300236395,26.468902018748413
7.781717888100866,28.269525965229295
7.880220646178092,29.73457272748076
7.978723404255319,31.546338019089976
8.077226162332545,32.77831249889671
8.175728920409771,33.84737225637181
8.274231678486997,34.06235534338085
8.372734436564222,35.26621844456105
8.471237194641448,34.41405390035045
8.569739952718676,34.811535229680224
8.668242710795901,33.34573589611021
8.766745468873127,32.26964217400856
8.865248226950353,30.326707207866225
8.96375098502758,29.102010780413405
9.062253743104806,27.225904866558572
9.160756501182032,25.78498031335803
9.259259259259258,23.383679814343537
9.357762017336485,21.38517540351893
9.456264775413711,19.133884867764035
9.554767533490937,16.753657362629486
9.653270291568163,15.713670578265281
9.751773049645388,13.358223178539262
9.850275807722616,12.846347747357456
9.948778565799842,11.86245171064714
10.047281323877067,12.35862994881371
10.145784081954293,13.092652113031734
10.24428684003152,13.88903878186915
10.342789598108746,14.883791899995234
10.441292356185972,15.304519118822443
10.539795114263198,16.526845881698513
10.638297872340424,17.482387880091654
